"device_id","datetime","CO","status1","CO2","status2","NOx","status3","O3","status4","PM2_5","status5","AQHI","status6","NO2","status7","NO","status8"
"30005","2018-02-01 00:51:21","278.695",NULL,NULL,NULL,NULL,NULL,"17.368",NULL,"17.72",NULL,NULL,NULL,"4.7305",NULL,"7.99437",NULL
"30005","2018-02-01 00:54:52","404.88",NULL,NULL,NULL,NULL,NULL,"21.0009",NULL,"7.75",NULL,NULL,NULL,"1.31264",NULL,"32.9442",NULL
"30005","2018-02-01 01:20:05","1106.87",NULL,NULL,NULL,NULL,NULL,"11.3852",NULL,"7.61",NULL,NULL,NULL,"4.02295",NULL,"31.1095",NULL
"30005","2018-02-01 01:22:05","221.64",NULL,NULL,NULL,NULL,NULL,"21.2534",NULL,"16.36",NULL,NULL,NULL,"0.544435",NULL,"7.8772",NULL
"30005","2018-02-01 01:26:05","228.758",NULL,NULL,NULL,NULL,NULL,"24.7821",NULL,"26.32",NULL,NULL,NULL,"0.610508",NULL,"8.22534",NULL
"30005","2018-02-01 01:29:05","226.458",NULL,NULL,NULL,NULL,NULL,"26.2225",NULL,"22.13",NULL,NULL,NULL,"0.418669",NULL,"8.30815",NULL
"30005","2018-02-01 01:33:05","218.4",NULL,NULL,NULL,NULL,NULL,"26.7286",NULL,"16.03",NULL,NULL,NULL,"0.265274",NULL,"8.26914",NULL
"30005","2018-02-01 01:36:05","219.379",NULL,NULL,NULL,NULL,NULL,"26.6405",NULL,"14.14",NULL,NULL,NULL,"0.559045",NULL,"8.28891",NULL
"30005","2018-02-01 01:39:09","221.148",NULL,NULL,NULL,NULL,NULL,"26.6104",NULL,"16.12",NULL,NULL,NULL,"0.670084",NULL,"8.23012",NULL
"30005","2018-02-01 01:40:05","219.878",NULL,NULL,NULL,NULL,NULL,"26.6957",NULL,"18.81",NULL,NULL,NULL,"0.756919",NULL,"8.29383",NULL
"30005","2018-02-01 01:42:11","219.16",NULL,NULL,NULL,NULL,NULL,"26.5197",NULL,"16.35",NULL,NULL,NULL,"0.927776",NULL,"8.23012",NULL
"30005","2018-02-01 01:43:05","220.064",NULL,NULL,NULL,NULL,NULL,"26.1398",NULL,"17.63",NULL,NULL,NULL,"1.10388",NULL,"8.29628",NULL
"30005","2018-02-01 01:47:05","218.973",NULL,NULL,NULL,NULL,NULL,"25.8854",NULL,"13.67",NULL,NULL,NULL,"1.40968",NULL,"8.23252",NULL
"30005","2018-02-01 03:09:38","2997.79",NULL,NULL,NULL,NULL,NULL,"6.84143",NULL,"6.67",NULL,NULL,NULL,"9.55485",NULL,"35.0195",NULL
"30005","2018-02-01 03:12:38","252.904",NULL,NULL,NULL,NULL,NULL,"19.7058",NULL,"20.36",NULL,NULL,NULL,"1.72518",NULL,"8.11307",NULL
"30005","2018-02-01 03:16:38","239.238",NULL,NULL,NULL,NULL,NULL,"23.0073",NULL,"20.06",NULL,NULL,NULL,"0.972628",NULL,"8.33561",NULL
"30005","2018-02-01 03:30:38","230.438",NULL,NULL,NULL,NULL,NULL,"25.3164",NULL,"16.04",NULL,NULL,NULL,"1.26513",NULL,"8.34213",NULL
"30005","2018-02-01 03:33:38","229.719",NULL,NULL,NULL,NULL,NULL,"25.4898",NULL,"16.72",NULL,NULL,NULL,"1.40161",NULL,"8.35142",NULL
"30005","2018-02-01 03:36:38","229.311",NULL,NULL,NULL,NULL,NULL,"25.311",NULL,"16.11",NULL,NULL,NULL,"1.58848",NULL,"8.3921",NULL
"30005","2018-02-01 03:40:38","226.549",NULL,NULL,NULL,NULL,NULL,"25.5529",NULL,"21.5",NULL,NULL,NULL,"1.72268",NULL,"8.34665",NULL
"30005","2018-02-01 03:41:38","226.096",NULL,NULL,NULL,NULL,NULL,"25.7047",NULL,"19.22",NULL,NULL,NULL,"1.67849",NULL,"8.3213",NULL
"30005","2018-02-01 05:31:25","3347.82",NULL,NULL,NULL,NULL,NULL,"5.04783",NULL,"8.06",NULL,NULL,NULL,"9.87356",NULL,"34.9454",NULL
"30005","2018-02-01 05:32:22","399.719",NULL,NULL,NULL,NULL,NULL,"13.5956",NULL,"14.32",NULL,NULL,NULL,"3.4706",NULL,"8.27435",NULL
